,Company,TypeName,Inches,ScreenResolution,CpuVenderName,CpuType,CpuSpeed,Ram,Memory,GpuName,GpuType,OpSys,Weight,Price_euros
41,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.65kg,1499.0
42,Asus,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,8GB,1TB HDD,Nvidia,GeForce,Linux,2.3kg,522.99
43,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,4GB,256GB SSD,Intel,UHD Graphics,Windows 10,2.2kg,682.0
44,Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6GHz,12GB,1TB HDD,Nvidia,GeForce,Windows 10,2.77kg,999.0
45,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,2.0GHz,8GB,256GB SSD,Intel,Iris Graphics,macOS,1.37kg,1419.0
46,Lenovo,Notebook,15.6,1366x768,Intel,Core i3 6006U,2GHz,4GB,128GB SSD,Intel,HD Graphics,No OS,2.2kg,369.0
47,Asus,Gaming,17.3,Full HD 1920x1080,AMD,Ryzen 1700,3GHz,8GB,256GB SSD +  1TB HDD,AMD,Radeon RX,Windows 10,3.2kg,1299.0
48,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,4GB,256GB SSD,AMD,Radeon R5,Windows 10,2.3kg,639.0
49,Asus,Notebook,17.3,1366x768,Intel,Pentium Quad Core N4200,1.1GHz,4GB,1TB HDD,Nvidia,GeForce,Windows 10,2.8kg,466.0
50,Lenovo,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel,Atom x5-Z8550,1.44GHz,4GB,64GB Flash Storage,Intel,HD Graphics,Android,0.69kg,319.0
51,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,2.2kg,841.0
52,HP,Notebook,15.6,Full HD 1920x1080,AMD,A6-Series 9220,2.5GHz,4GB,256GB SSD,AMD,Radeon R4,Windows 10,1.86kg,398.49
53,HP,Notebook,13.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,512GB SSD,Intel,UHD Graphics,Windows 10,1.49kg,1103.0
54,Acer,Notebook,15.6,1366x768,Intel,Core i3 7100U,2.4GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,2.4kg,384.0
55,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,AMD,Radeon,Windows 10,2.13kg,767.8
56,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10,1.91kg,439.0
57,Asus,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,4GB,256GB SSD,Intel,HD Graphics,Windows 10,2kg,586.19
58,MSI,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia,GeForce GTX,Windows 10,2.43kg,2449.0
59,Asus,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,256GB SSD,Intel,HD Graphics,Linux,2kg,415.0
60,Dell,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,16GB,256GB SSD +  2TB HDD,AMD,Radeon,Windows 10,2.8kg,1299.0
61,Dell,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.7kg,879.0
62,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,2.7GHz,8GB,256GB SSD,Intel,HD Graphics,No OS,1.7kg,599.0
63,Asus,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.4kg,941.0
64,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.86kg,690.0
65,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,512GB SSD,Nvidia,GeForce GTX 1050,Windows 10,1.8kg,1983.0
66,HP,Notebook,15.6,1366x768,Intel,Core i3 6006U,2GHz,4GB,500GB HDD,AMD,Radeon,Windows 10,1.86kg,438.69
67,HP,Notebook,14.0,1366x768,Intel,Celeron Dual Core N3060,1.6GHz,4GB,32GB SSD,Intel,HD Graphics,Windows 10,1.44kg,229.0
68,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,1.9kg,549.0
69,Asus,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,12GB,1TB HDD,Nvidia,GeForce GTX 1050,Linux,3kg,949.0
70,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core i5 7200U,2.5GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10 S,1.252kg,1089.0
71,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,AMD,Radeon,Windows 10,1.4kg,955.0
72,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,AMD,Radeon,Windows 10,2.2kg,870.0
73,MSI,Gaming,17.3,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.7kg,1095.0
74,Acer,Notebook,14.0,1366x768,Intel,Core i3 6006U,2GHz,8GB,1TB HDD,Intel,HD Graphics,Windows 10,2.1kg,389.0
75,Asus,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,1TB HDD,Nvidia,GeForce GTX,Windows 10,2.2kg,949.0
76,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,2TB HDD,Intel,HD Graphics,No OS,2.2kg,519.0
77,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,128GB SSD +  1TB HDD,Intel,UHD Graphics,Windows 10,2.02kg,855.0
78,Acer,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7130U,2.7GHz,4GB,1TB HDD,Nvidia,GeForce,Windows 10,2.2kg,530.0
79,HP,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce,Windows 10,2.5kg,977.0
80,Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.88kg,1096.16
81,Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel,Core i5,1.3GHz,8GB,512GB SSD,Intel,HD Graphics,macOS,0.92kg,1510.0
82,HP,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.63kg,860.0
83,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD,A6-Series 9220,2.5GHz,4GB,128GB SSD,AMD,R4,Windows 10,2.2kg,399.0
84,Acer,Notebook,15.6,1366x768,AMD,A9-Series 9420,3GHz,4GB,1TB HDD,AMD,Radeon,Windows 10,2.1kg,395.0
85,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.65kg,1349.0
86,HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Nvidia,GeForce GTX,Windows 10,1.83kg,699.0
87,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.96kg,598.99
88,Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.2kg,1449.0
89,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.21kg,1649.0
90,Asus,Gaming,15.6,Full HD 1920x1080,AMD,FX 9830P,3GHz,8GB,1TB HDD,AMD,Radeon RX,Windows 10,2.45kg,699.0
91,Acer,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,1TB HDD,Nvidia,GeForce,Windows 10,2.2kg,689.0
92,HP,Notebook,13.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,16GB,512GB SSD,Intel,UHD Graphics,Windows 10,1.49kg,1197.0
93,Dell,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5GHz,8GB,256GB SSD,Nvidia,GeForce GTX,Windows 10,2.65kg,1195.0
94,Asus,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.25kg,1049.0
95,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.5kg,847.0
96,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,1TB HDD,AMD,Radeon R5,Linux,2.2kg,599.9
97,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,256GB SSD,AMD,Radeon R5,Linux,2.2kg,485.0
98,Asus,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7100U,2.4GHz,6GB,256GB SSD,Nvidia,GeForce,Windows 10,2kg,577.0
99,HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,12GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.62kg,1249.0
100,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,AMD,Radeon,Windows 10,1.91kg,719.0
101,HP,Notebook,15.6,Full HD 1920x1080,AMD,E-Series E2-9000e,1.5GHz,4GB,500GB HDD,AMD,Radeon,Windows 10,2.1kg,349.0
102,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,1TB HDD,AMD,Radeon,Linux,2.2kg,647.0
103,HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,1.38kg,1119.0
104,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10 S,1.252kg,1340.0
105,HP,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,6GB,256GB SSD,Nvidia,GeForce,Windows 10,1.58kg,659.0
106,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,1.85kg,414.9
107,Asus,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,1.3kg,1193.0
108,MSI,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.2kg,1299.0
109,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.58kg,1480.0
110,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce,Windows 10,1.5kg,1262.0
111,Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel,Core i7 7560U,2.4GHz,8GB,256GB SSD,Intel,Iris Plus Graphics,Windows 10,1.23kg,1379.0
112,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.37kg,1399.0
113,HP,Notebook,14.0,IPS Panel 1366x768,Intel,Core i5 8250U,1.6GHz,4GB,500GB HDD,Intel,UHD Graphics,Windows 10,1.63kg,722.0
114,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.21kg,1629.0
115,HP,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.26kg,1398.99
116,HP,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,512GB SSD,Intel,UHD Graphics,Windows 10,1.63kg,1084.0
117,Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia,GeForce,Windows 10,2.16kg,1130.33
118,Asus,Notebook,17.3,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,1TB HDD,Nvidia,GeForce,Windows 10,2kg,564.0
119,Asus,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,1.7kg,1118.0
120,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i3 7100U,2.4GHz,6GB,1TB HDD,Intel,HD Graphics,Windows 10,2.1kg,479.0
121,MSI,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia,GeForce GTX,Windows 10,1.8kg,2241.5
122,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Nvidia,GeForce,No OS,2.2kg,629.0
123,HP,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,16GB,512GB SSD,Nvidia,GeForce 930MX,Windows 10,2.5kg,1271.0
124,Acer,Notebook,15.6,1366x768,AMD,A9-Series 9420,3GHz,4GB,256GB SSD,AMD,Radeon,Windows 10,2.1kg,451.0
125,HP,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3060,1.6GHz,4GB,500GB HDD,Intel,HD Graphics,No OS,1.86kg,259.0
126,HP,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,1TB HDD,Intel,UHD Graphics,Windows 10,1.63kg,812.0
127,Asus,Notebook,14.0,1366x768,AMD,E-Series 6110,1.5GHz,4GB,64GB SSD,AMD,Radeon,Windows 10 S,1.65kg,277.99
128,Dell,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,16GB,256GB SSD +  2TB HDD,AMD,Radeon,Windows 10,2.8kg,1396.0
129,HP,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,2.5kg,928.0
130,Dell,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,8GB,1TB HDD,AMD,Radeon R7,Windows 10,2.36kg,638.99
131,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,1TB HDD,AMD,Radeon R5,Windows 10,2.2kg,449.0
132,Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.6kg,884.0
133,Acer,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7130U,2.7GHz,4GB,256GB SSD,Nvidia,GeForce,Windows 10,2.2kg,572.0
134,HP,Notebook,15.6,1366x768,Intel,Core i7 7500U,2.7GHz,8GB,1TB HDD,Intel,HD Graphics,Windows 10,2.05kg,598.0
135,HP,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.63kg,988.0
136,Lenovo,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1GHz,4GB,1TB HDD,Intel,HD Graphics,No OS,1.9kg,252.36
137,Asus,Gaming,17.3,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,3kg,938.0
138,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,4GB,1TB HDD,Nvidia,GeForce,No OS,2.2kg,499.0
139,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,4GB,256GB SSD,Intel,HD Graphics,Windows 10,1.32kg,699.0
140,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,2.7GHz,4GB,1TB HDD,Nvidia,GeForce,Windows 10,3kg,655.0
141,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,AMD,Radeon RX,Windows 10,1.75kg,1116.02
142,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,256GB SSD,Nvidia,GeForce GTX,No OS,2.4kg,869.0
143,Toshiba,Notebook,15.6,1366x768,Intel,Core i5 6200U,2.3GHz,4GB,500GB HDD,Intel,HD Graphics,Windows 10,2.1kg,602.0
144,HP,Notebook,15.6,1366x768,AMD,A6-Series 9220,2.5GHz,4GB,256GB SSD,AMD,Radeon R4,Windows 10,1.86kg,369.0
145,Asus,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.25kg,1099.0
146,HP,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core M 6Y75,1.2GHz,8GB,512GB SSD,Intel,HD Graphics,Windows 10,0.97kg,2014.0
147,Asus,Notebook,15.6,Full HD 1920x1080,Intel,Celeron Dual Core N3350,1.1GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,2kg,344.0
148,MSI,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.9kg,2029.0
149,Acer,Notebook,15.6,1366x768,Intel,Core i3 6006U,2GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,2.1kg,447.0
150,Dell,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,512GB SSD,Nvidia,GeForce GTX,Windows 10,2.56kg,1249.26
151,Dell,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,1.0TB Hybrid,Nvidia,GeForce GTX,Windows 10,2.62kg,899.0
152,Lenovo,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10,1.9kg,498.0
153,MSI,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.8kg,1890.0
154,HP,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i5 7500U,2.7GHz,4GB,256GB SSD,Intel,HD Graphics,Windows 10,1.48kg,1082.0
155,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,6GB,256GB SSD,AMD,Radeon,Windows 10,1.91kg,619.0
156,Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i3 7100U,2.4GHz,4GB,256GB SSD,Intel,HD Graphics,Windows 10,1.74kg,629.0
157,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.1kg,1315.0
